pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
emmca_l06,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
permh_l06,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmca_l04,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
permh_l04,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmca_l02,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
permh_l02,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
permh_l05,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmca_l05,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
permh_l01,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmca_l03,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
permh_l03,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
cap_sol_progr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
equ_ruis_perc,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
t_demi_percol,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmli_pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
perm_r_zpc,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmli_zpc,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
emmca_zpc,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
